"id_veiculo";"placa";"modelo";"tipo";"grupo";"diaria";"status_atual";"quilometragem";"id_filial_atual"
1;"MZZ3N37";"Fiat Mobi";"Hatch";3;110.0;"Disponivel";434.36;18
2;"XYP6Y20";"Volvo XC60";"Luxo";1;750.0;"Disponivel";747.8;13
3;"NIT5R34";"Chevrolet Onix";"Hatch";3;130.0;"Alugado";272.49;7
4;"LKG2Q43";"Mercedes C200";"Luxo";1;620.0;"Reservado";802.77;4
5;"UFD1A59";"Toyota Corolla";"Sedan";1;180.0;"Disponivel";150.11;9
6;"QWE7K88";"Jeep Renegade";"SUV";2;260.0;"Alugado";618.23;12
7;"TRP4H91";"Volkswagen T-Cross";"SUV";2;275.0;"Disponivel";2190.45;1
8;"ABC9J62";"Ford Ranger";"Picape";4;320.0;"Manutencao";913.66;10
9;"YHN8D55";"Honda Civic";"Sedan";1;195.0;"Reservado";4822.37;15
10;"PLM3V78";"Hyundai HB20";"Hatch";3;145.0;"Disponivel";2734.28;6
11;"KJU5E44";"BMW 320i";"Luxo";3;550.0;"Disponivel";112.0;2
12;"NBG7T30";"Audi Q3";"Luxo";3;580.0;"Alugado";358.1;19
13;"QAZ2X19";"Renault Kwid";"Hatch";3;100.0;"Disponivel";905.8;11
14;"WSX4C73";"Chevrolet Spin";"Van";4;260.0;"Disponivel";644.5;5
15;"EDC8V21";"Nissan Versa";"Sedan";1;170.0;"Reservado";1945.3;3
16;"RFV1B60";"Toyota Corolla";"Sedan";1;180.0;"Alugado";3899.99;14
17;"TGB9N18";"Jeep Renegade";"SUV";2;260.0;"Disponivel";420.45;8
18;"YHN5M77";"Fiat Mobi";"Hatch";3;110.0;"Disponivel";1200.0;20
19;"UJM6K90";"Honda Civic";"Sedan";1;195.0;"Manutencao";7332.11;13
20;"IKO4L33";"Volkswagen T-Cross";"SUV";2;275.0;"Disponivel";2877.77;16
21;"PLO8P45";"Volvo XC60";"Luxo";3;750.0;"Reservado";99.0;4
22;"MNB2A66";"Chevrolet Onix";"Hatch";3;130.0;"Disponivel";445.22;18
23;"VFR7S12";"Ford Ranger";"Picape";4;320.0;"Alugado";61.55;9
24;"CXD3F99";"Mercedes C200";"Luxo";3;620.0;"Disponivel";18.88;6
25;"ZSE1G57";"BMW 320i";"Luxo";3;550.0;"Disponivel";22.15;17
26;"AWD6H40";"Toyota Corolla";"Sedan";1;180.0;"Reservado";3509.3;10
27;"QSC5J61";"Jeep Renegade";"SUV";2;260.0;"Disponivel";520.4;5
28;"EDX4K28";"Renault Kwid";"Hatch";3;100.0;"Disponivel";8800.9;1
29;"RFG7L83";"Honda Civic";"Sedan";1;195.0;"Alugado";6654.0;12
30;"TGB1M42";"Audi Q3";"Luxo";3;580.0;"Disponivel";15.7;14
31;"YHN9N75";"Chevrolet Spin";"Van";2;260.0;"Reservado";7810.0;3
32;"UJM3P54";"Fiat Mobi";"Hatch";3;110.0;"Disponivel";2700.0;8
33;"IKO5Q11";"Volkswagen T-Cross";"SUV";2;275.0;"Disponivel";130.0;19
34;"PLO7R98";"Ford Ranger";"Picape";4;320.0;"Manutencao";91.0;7
35;"MNB4S20";"Toyota Corolla";"Sedan";1;180.0;"Disponivel";345.5;11
36;"VFR6T72";"Honda Civic";"Sedan";1;195.0;"Disponivel";287.0;2
37;"CXD2U35";"Chevrolet Onix";"Hatch";3;130.0;"Reservado";1560.1;16
38;"ZSE8V47";"Jeep Renegade";"SUV";2;260.0;"Alugado";74.22;15
39;"AWD1W58";"BMW 320i";"Luxo";3;550.0;"Disponivel";10.0;20
40;"QSC9X69";"Audi Q3";"Luxo";3;580.0;"Disponivel";23.0;18
41;"EDX5Y80";"Volvo XC60";"Luxo";3;750.0;"Reservado";155.0;9
42;"RFG4Z31";"Hyundai HB20";"Hatch";3;145.0;"Disponivel";298.0;13
43;"TGB8A50";"Chevrolet Spin";"Van";1;260.0;"Disponivel";680.0;6
44;"YHN2B62";"Ford Ranger";"Picape";4;320.0;"Alugado";87.0;5
45;"UJM7C84";"Renault Kwid";"Hatch";3;100.0;"Disponivel";940.0;1
46;"IKO6D93";"Toyota Corolla";"Sedan";1;180.0;"Reservado";4100.0;14
47;"PLO3E26";"Honda Civic";"Sedan";1;195.0;"Disponivel";3260.0;17
48;"MNB9F71";"Chevrolet Onix";"Hatch";3;130.0;"Disponivel";1540.0;10
49;"VFR5G39";"Volkswagen T-Cross";"SUV";2;275.0;"Alugado";505.0;7
50;"CXD4H57";"Jeep Renegade";"SUV";2;260.0;"Disponivel";287.0;2
51;"ZSE2I68";"BMW 320i";"Luxo";3;550.0;"Reservado";133.0;19
52;"AWD7J24";"Audi Q3";"Luxo";3;580.0;"Disponivel";241.0;4
53;"QSC1K36";"Volvo XC60";"Luxo";3;750.0;"Disponivel";187.0;8
54;"EDX9L49";"Fiat Mobi";"Hatch";3;110.0;"Disponivel";620.0;12
55;"RFG3M58";"Hyundai HB20";"Hatch";3;145.0;"Reservado";235.0;6
56;"TGB6N64";"Chevrolet Spin";"Van";4;260.0;"Disponivel";704.0;11
57;"YHN4P82";"Ford Ranger";"Picape";4;320.0;"Alugado";845.0;16
58;"UJM8Q14";"Toyota Corolla";"Sedan";1;180.0;"Disponivel";367.0;3
59;"IKO2R27";"Honda Civic";"Sedan";1;195.0;"Disponivel";284.0;9
